GO_NECROTIC_CELL_DEATH
GO_CELL_DEATH_IN_RESPONSE_TO_OXIDATIVE_STRESS
GO_REGULATION_OF_NECROTIC_CELL_DEATH
GO_POSITIVE_REGULATION_OF_CELL_DEATH
GO_NEGATIVE_REGULATION_OF_CELL_DEATH
GO_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_CELL_DEATH
GO_REGULATION_OF_CELL_DEATH
GO_NEGATIVE_REGULATION_OF_NECROTIC_CELL_DEATH
GO_POSITIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_CELL_DEATH
GO_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS
GO_PROGRAMMED_CELL_DEATH_INVOLVED_IN_CELL_DEVELOPMENT
GO_POSITIVE_REGULATION_OF_NECROTIC_CELL_DEATH
GO_ECTOPIC_GERM_CELL_PROGRAMMED_CELL_DEATH
GO_CELL_DEATH_IN_RESPONSE_TO_HYDROGEN_PEROXIDE
GO_MODULATION_OF_PROGRAMMED_CELL_DEATH_IN_OTHER_ORGANISM
GO_AUTOPHAGIC_CELL_DEATH
GO_REGULATION_OF_PROGRAMMED_NECROTIC_CELL_DEATH
GO_POSITIVE_REGULATION_OF_PROGRAMMED_NECROTIC_CELL_DEATH
GO_PROGRAMMED_NECROTIC_CELL_DEATH
GO_PROGRAMMED_CELL_DEATH_IN_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES
GO_NEGATIVE_REGULATION_OF_HYDROGEN_PEROXIDE_MEDIATED_PROGRAMMED_CELL_DEATH
GO_MODULATION_BY_SYMBIONT_OF_HOST_PROGRAMMED_CELL_DEATH
GO_REGULATION_OF_HYDROGEN_PEROXIDE_MEDIATED_PROGRAMMED_CELL_DEATH
GO_POSITIVE_REGULATION_OF_HYDROGEN_PEROXIDE_INDUCED_CELL_DEATH
