GO_SYNAPSE_MATURATION
GO_INHIBITORY_POSTSYNAPTIC_POTENTIAL
GO_SYNAPTIC_VESICLE_BUDDING
GO_NEGATIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL
GO_PRESYNAPTIC_MEMBRANE_ORGANIZATION
GO_SYNAPTIC_VESICLE_CLUSTERING
GO_POSTSYNAPTIC_MEMBRANE_ASSEMBLY
GO_POSTSYNAPTIC_DENSITY_PROTEIN_95_CLUSTERING
GO_RECEPTOR_LOCALIZATION_TO_SYNAPSE
GO_POSITIVE_REGULATION_OF_INHIBITORY_POSTSYNAPTIC_POTENTIAL
GO_REGULATION_OF_SYNAPTIC_VESICLE_CYCLE
GO_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_LOCALIZATION_TO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE
GO_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY
GO_NEUROTRANSMITTER_LOADING_INTO_SYNAPTIC_VESICLE
GO_SPONTANEOUS_SYNAPTIC_TRANSMISSION
GO_MAINTENANCE_OF_POSTSYNAPTIC_SPECIALIZATION_STRUCTURE
GO_SYNAPSE_PRUNING
GO_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_INTERNALIZATION
GO_MODIFICATION_OF_POSTSYNAPTIC_ACTIN_CYTOSKELETON
GO_RETROGRADE_TRANS_SYNAPTIC_SIGNALING
GO_RETROGRADE_TRANS_SYNAPTIC_SIGNALING_BY_LIPID
GO_POSTSYNAPTIC_SIGNAL_TRANSDUCTION
GO_NEUROTRANSMITTER_RECEPTOR_TRANSPORT_POSTSYNAPTIC_ENDOSOME_TO_LYSOSOME
GO_REGULATION_OF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY
GO_EXCITATORY_CHEMICAL_SYNAPTIC_TRANSMISSION
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE
GO_MODIFICATION_OF_POSTSYNAPTIC_STRUCTURE
GO_POSTSYNAPSE_ASSEMBLY
GO_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_NEUROTRANSMITTER_RECEPTOR_LEVELS
GO_POSTSYNAPTIC_SPECIALIZATION_ORGANIZATION
