GO_CELL_MATRIX_ADHESION
GO_EXTRACELLULAR_MATRIX_ASSEMBLY
GO_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION
GO_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY
GO_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION
GO_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION
GO_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION
GO_EXTRACELLULAR_MATRIX_DISASSEMBLY
GO_REGULATION_OF_CELL_MATRIX_ADHESION
GO_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY
GO_PROTEIN_IMPORT_INTO_MITOCHONDRIAL_MATRIX
GO_PROTEIN_IMPORT_INTO_PEROXISOME_MATRIX
GO_REGULATION_OF_EXTRACELLULAR_MATRIX_CONSTITUENT_SECRETION
GO_NEGATIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY
GO_SMOOTH_MUSCLE_CELL_MATRIX_ADHESION
GO_EXTRACELLULAR_MATRIX_CONSTITUENT_SECRETION
GO_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY
GO_ENDOTHELIAL_CELL_MATRIX_ADHESION
GO_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY
GO_NEGATIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION
GO_REGULATION_OF_MATRIX_METALLOPEPTIDASE_SECRETION
GO_NEGATIVE_REGULATION_OF_MATRIX_METALLOPEPTIDASE_SECRETION
