GO_ASTROCYTE_ACTIVATION
GO_ASTROCYTE_CELL_MIGRATION
GO_ASTROCYTE_DEVELOPMENT
GO_ASTROCYTE_DIFFERENTIATION
GO_GASTRO_INTESTINAL_SYSTEM_SMOOTH_MUSCLE_CONTRACTION
GO_MAINTENANCE_OF_GASTROINTESTINAL_EPITHELIUM
GO_NEGATIVE_REGULATION_OF_ASTROCYTE_ACTIVATION
GO_NEGATIVE_REGULATION_OF_ASTROCYTE_DIFFERENTIATION
GO_POSITIVE_REGULATION_OF_ASTROCYTE_DIFFERENTIATION
GO_POSITIVE_REGULATION_OF_GASTRO_INTESTINAL_SYSTEM_SMOOTH_MUSCLE_CONTRACTION
GO_REGULATION_OF_ASTROCYTE_ACTIVATION
GO_REGULATION_OF_ASTROCYTE_DIFFERENTIATION
