GO_REGULATION_OF_EPIDERMIS_DEVELOPMENT
GO_POSITIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT
GO_NEGATIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT
GO_EPIDERMIS_DEVELOPMENT
