GO_PROTEIN_LOCALIZATION_TO_CILIUM
GO_CILIUM_ORGANIZATION
GO_CILIUM_MOVEMENT
GO_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY
GO_REGULATION_OF_CILIUM_ASSEMBLY
GO_MOTILE_CILIUM_ASSEMBLY
GO_REGULATION_OF_CILIUM_MOVEMENT
GO_REGULATION_OF_CILIUM_BEAT_FREQUENCY
GO_INTRACILIARY_TRANSPORT_INVOLVED_IN_CILIUM_ASSEMBLY
GO_POSITIVE_REGULATION_OF_CILIUM_ASSEMBLY
GO_INNER_EAR_RECEPTOR_CELL_STEREOCILIUM_ORGANIZATION
GO_EPITHELIAL_CILIUM_MOVEMENT_INVOLVED_IN_DETERMINATION_OF_LEFT_RIGHT_ASYMMETRY
GO_CILIUM_MOVEMENT_INVOLVED_IN_CELL_MOTILITY
GO_REGULATION_OF_CILIUM_BEAT_FREQUENCY_INVOLVED_IN_CILIARY_MOTILITY
GO_PROTEIN_LOCALIZATION_TO_NON_MOTILE_CILIUM
GO_NEGATIVE_REGULATION_OF_CILIUM_ASSEMBLY
GO_REGULATION_OF_NON_MOTILE_CILIUM_ASSEMBLY
GO_POSITIVE_REGULATION_OF_NON_MOTILE_CILIUM_ASSEMBLY
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CILIUM
GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CILIUM
GO_NON_MOTILE_CILIUM_ASSEMBLY
GO_REGULATION_OF_CILIUM_DEPENDENT_CELL_MOTILITY
