GO_CELL_DIVISION
GO_NEGATIVE_REGULATION_OF_CELL_DIVISION
GO_ASYMMETRIC_CELL_DIVISION
GO_STEM_CELL_DIVISION
GO_POSITIVE_REGULATION_OF_CELL_DIVISION
GO_REGULATION_OF_CELL_DIVISION
GO_SOMATIC_STEM_CELL_DIVISION
GO_FOREBRAIN_VENTRICULAR_ZONE_PROGENITOR_CELL_DIVISION
GO_ASYMMETRIC_STEM_CELL_DIVISION
GO_REGULATION_OF_STEM_CELL_DIVISION
