GO_NEGATIVE_REGULATION_OF_DNA_REPAIR
GO_DNA_LIGATION_INVOLVED_IN_DNA_REPAIR
GO_REGULATION_OF_DNA_REPAIR
GO_DNA_REPAIR
GO_POSITIVE_REGULATION_OF_DNA_REPAIR
GO_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR
GO_DNA_DEALKYLATION_INVOLVED_IN_DNA_REPAIR
GO_MITOCHONDRIAL_DNA_REPAIR
GO_DNA_REPAIR_COMPLEX_ASSEMBLY
