GO_ASSOCIATIVE_LEARNING
GO_LEARNING
GO_NONASSOCIATIVE_LEARNING
GO_MOTOR_LEARNING
GO_OBSERVATIONAL_LEARNING
GO_LEARNED_VOCALIZATION_BEHAVIOR_OR_VOCAL_LEARNING
