GO_SYNAPTIC_VESICLE_LOCALIZATION
GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC
GO_SYNAPSE_ORGANIZATION
GO_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY
GO_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC
GO_SYNAPTIC_VESICLE_CYTOSKELETAL_TRANSPORT
GO_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY
GO_SYNAPTIC_TRANSMISSION_CHOLINERGIC
GO_REGULATION_OF_SHORT_TERM_NEURONAL_SYNAPTIC_PLASTICITY
GO_SYNAPTIC_VESICLE_RECYCLING
GO_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY
GO_REGULATION_OF_SYNAPTIC_PLASTICITY
GO_LONG_TERM_SYNAPTIC_DEPRESSION
GO_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION
GO_POSITIVE_REGULATION_OF_SYNAPSE_MATURATION
GO_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL
GO_NEURON_NEURON_SYNAPTIC_TRANSMISSION
GO_REGULATION_OF_SYNAPSE_ASSEMBLY
GO_POSTSYNAPTIC_MEMBRANE_ORGANIZATION
GO_SYNAPTIC_TRANSMISSION_DOPAMINERGIC
GO_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL
GO_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL
GO_SYNAPTIC_SIGNALING
GO_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION
GO_LONG_TERM_SYNAPTIC_POTENTIATION
GO_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY
GO_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION
GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION
GO_PROTEIN_LOCALIZATION_TO_SYNAPSE
GO_REGULATION_OF_SYNAPTIC_TRANSMISSION_GABAERGIC
