GO_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC
GO_REGULATION_OF_SYNAPSE_MATURATION
GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GABAERGIC
GO_SYNAPSIS
GO_REGULATION_OF_SYNAPTIC_VESICLE_TRANSPORT
GO_SYNAPSE_ASSEMBLY
GO_REGULATION_OF_SYNAPTIC_TRANSMISSION_DOPAMINERGIC
GO_REGULATION_OF_SYNAPTIC_VESICLE_PRIMING
GO_SYNAPTIC_VESICLE_EXOCYTOSIS
GO_SYNAPTIC_VESICLE_DOCKING
GO_SYNAPTIC_VESICLE_PRIMING
GO_SYNAPTIC_VESICLE_BUDDING_FROM_PRESYNAPTIC_ENDOCYTIC_ZONE_MEMBRANE
GO_SYNAPTIC_VESICLE_MATURATION
GO_SYNAPTIC_VESICLE_UNCOATING
GO_REGULATION_OF_SYNAPTIC_VESICLE_FUSION_TO_PRESYNAPTIC_ACTIVE_ZONE_MEMBRANE
GO_NEGATIVE_REGULATION_OF_SYNAPTIC_PLASTICITY
GO_POSITIVE_REGULATION_OF_SYNAPTIC_PLASTICITY
GO_REGULATION_OF_SYNAPTIC_TRANSMISSION_CHOLINERGIC
GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_DOPAMINERGIC
GO_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GABAERGIC
GO_POSITIVE_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY
GO_MAINTENANCE_OF_PRESYNAPTIC_ACTIVE_ZONE_STRUCTURE
GO_SYNAPTIC_GROWTH_AT_NEUROMUSCULAR_JUNCTION
GO_REGULATION_OF_DOPAMINE_UPTAKE_INVOLVED_IN_SYNAPTIC_TRANSMISSION
GO_REGULATION_OF_SYNAPSE_STRUCTURAL_PLASTICITY
GO_SYNAPTIC_TRANSMISSION_GABAERGIC
GO_CATECHOLAMINE_UPTAKE_INVOLVED_IN_SYNAPTIC_TRANSMISSION
GO_NEGATIVE_REGULATION_OF_SYNAPSE_ASSEMBLY
GO_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC
GO_SYNAPTIC_TRANSMISSION_GLYCINERGIC
