GO_ANTEROGRADE_DENDRITIC_TRANSPORT
GO_AXO_DENDRITIC_PROTEIN_TRANSPORT
GO_AXO_DENDRITIC_TRANSPORT
GO_DENDRITE_ARBORIZATION
GO_DENDRITE_DEVELOPMENT
GO_DENDRITE_EXTENSION
GO_DENDRITE_MORPHOGENESIS
GO_DENDRITE_SELF_AVOIDANCE
GO_DENDRITIC_SPINE_DEVELOPMENT
GO_DENDRITIC_SPINE_MAINTENANCE
GO_DENDRITIC_SPINE_MORPHOGENESIS
GO_DENDRITIC_TRANSPORT
GO_NEGATIVE_REGULATION_OF_DENDRITE_DEVELOPMENT
GO_NEGATIVE_REGULATION_OF_DENDRITE_MORPHOGENESIS
GO_NEGATIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT
GO_NEGATIVE_REGULATION_OF_DENDRITIC_SPINE_MORPHOGENESIS
GO_POSITIVE_REGULATION_OF_DENDRITE_DEVELOPMENT
GO_POSITIVE_REGULATION_OF_DENDRITE_MORPHOGENESIS
GO_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT
GO_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_MORPHOGENESIS
GO_REGULATION_OF_DENDRITE_DEVELOPMENT
GO_REGULATION_OF_DENDRITE_EXTENSION
GO_REGULATION_OF_DENDRITE_MORPHOGENESIS
GO_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT
GO_REGULATION_OF_DENDRITIC_SPINE_MAINTENANCE
GO_REGULATION_OF_DENDRITIC_SPINE_MORPHOGENESIS
